Identifier,ARN,Resource type,Region,AWS Account,Application,LastReportedAt,Service,Tags,Tag:cost-center,Tag:aws:cloudformation:logical-id,Tag:aws:cloudformation:stack-id,Tag:aws:cloudformation:stack-name,Tag:InstanceScheduler-LastAction,Tag:Name,Tag:project,Tag:dlm:managed,Tag:Schedule,Tag:CdkGenerated,Tag:Environment,Tag:Sector,Tag:DNS5,Tag:deploy-stp-integraion-testing,Tag:DNS3,Tag:deploy-stp-api-testing,Tag:DNS2,Tag:instance-id,Tag:Backup,Tag:deploy-stp-acf-testing,Tag:DNS1,Tag:deploy-stp-identity-testing,Tag:DNS4,Tag:aws:dlm:lifecycle-schedule-name,Tag:aws:dlm:lifecycle-policy-id,Tag:Arasco-Prod,Tag:wes-api-dev-deploy,Tag:DNS6,Tag:deploy-stp-acf-staging,Tag:deploy-stp-audit-staging,Tag:deploy-stp-integrations-staging,Tag:deploy-stp-api-staging,Tag:deploy-stp-identity-staging,Tag:deploy-stp-api-preproduction,Tag:deploy-stp-acf-preproduction,Tag:deploy-stp-identity-preproduction,Tag:deploy-stp-integrations-preproduction,Tag:stp-acf-deploy,Tag:Application-Identity,Tag:Application,Tag:Env.,Tag:Solutions:SolutionID,Tag:Solutions:SolutionName,Tag:Solutions:SolutionVersion,Tag:Solutions:ApplicationType,Tag:aws:servicecatalog:applicationName,Tag:aws:ssmmessages:session-id,Tag:aws:ssmmessages:target-id,Tag:NLA-DEV,Tag:ims-api-dev-deploy,Tag:QuickSetupManagerID,Tag:QuickSetupDefinitionID,Tag:QuickSetupManagerRegion,Tag:QuickSetupManagerArn,Tag:QuickSetupManagerAccount,Tag:QuickSetupDocument,Tag:QuickSetupDocumentVersionName,Tag:aws:servicecatalog:attributeGroupName,Tag:env,Tag:EnableAWSServiceCatalogAppRegistry,Tag:aws:servicecatalog:applicationId,Tag:aws:servicecatalog:applicationArn,Tag:wes-api-testing-deploy
vpc-0a1809bcc285201e8,arn:aws:ec2:us-west-1:405124853097:vpc/vpc-0a1809bcc285201e8,ec2:vpc,us-west-1,405124853097,-,Thu Dec 18 2025 14:24:12 GMT+0200 (Eastern European Standard Time),ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
rds:ott-dev-2025-12-15-08-40,arn:aws:rds:eu-west-3:405124853097:snapshot:rds:ott-dev-2025-12-15-08-40,rds:snapshot,eu-west-3,405124853097,-,Sat Dec 20 2025 16:13:26 GMT+0200 (Eastern European Standard Time),rds,1,Pharma-WES-Dev,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
sg-04dbd7bb35caafaa9,arn:aws:ec2:eu-west-3:405124853097:security-group/sg-04dbd7bb35caafaa9,ec2:security-group,eu-west-3,405124853097,-,Fri Dec 19 2025 20:51:02 GMT+0200 (Eastern European Standard Time),ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
stp-mobile-dev,arn:aws:s3:::stp-mobile-dev,s3:bucket,eu-west-3,405124853097,-,Sat Dec 20 2025 19:50:30 GMT+0200 (Eastern European Standard Time),s3,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
aws-service-rule/securityhub.amazonaws.com/config-rule-kvicre,arn:aws:config:eu-west-3:405124853097:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-kvicre,config:config-rule,eu-west-3,405124853097,-,Sun Dec 21 2025 04:35:32 GMT+0200 (Eastern European Standard Time),config,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
service-role/codebuild-loyalty-ph-dev-codebuild-service-role,arn:aws:iam::405124853097:role/service-role/codebuild-loyalty-ph-dev-codebuild-service-role,iam:role,global,405124853097,-,Sun Dec 21 2025 11:35:49 GMT+0200 (Eastern European Standard Time),iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
8ee5c74e-8f13-4f26-8b7c-491e474890db,arn:aws:ssm:eu-west-3:405124853097:association/8ee5c74e-8f13-4f26-8b7c-491e474890db,ssm:association,eu-west-3,405124853097,-,Thu Dec 18 2025 00:48:14 GMT+0200 (Eastern European Standard Time),ssm,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
instance-scheduler-MaintenanceWindowTable-1PO3VF63O58VM,arn:aws:dynamodb:eu-west-3:405124853097:table/instance-scheduler-MaintenanceWindowTable-1PO3VF63O58VM,dynamodb:table,eu-west-3,405124853097,-,Thu Dec 18 2025 21:02:17 GMT+0200 (Eastern European Standard Time),dynamodb,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
rtb-0106fbab591a2acbf,arn:aws:ec2:eu-west-3:405124853097:route-table/rtb-0106fbab591a2acbf,ec2:route-table,eu-west-3,405124853097,-,Sun Nov 30 2025 18:51:30 GMT+0200 (Eastern European Standard Time),ec2,3,compliance,(not tagged),(not tagged),(not tagged),(not tagged),Compliance-rtb-public,compliance,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
default.memorydb-valkey7.search,arn:aws:memorydb:us-east-1:405124853097:parametergroup/default.memorydb-valkey7.search,memorydb:parametergroup,us-east-1,405124853097,-,Wed Dec 17 2025 09:45:29 GMT+0200 (Eastern European Standard Time),memorydb,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
eni-0d01c984cf1223398,arn:aws:ec2:eu-west-3:405124853097:network-interface/eni-0d01c984cf1223398,ec2:network-interface,eu-west-3,405124853097,-,Tue Dec 16 2025 15:57:31 GMT+0200 (Eastern European Standard Time),ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
loyalty-stg-snapshot,arn:aws:rds:eu-west-3:405124853097:snapshot:loyalty-stg-snapshot,rds:snapshot,eu-west-3,405124853097,-,Sat Dec 20 2025 16:13:24 GMT+0200 (Eastern European Standard Time),rds,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
vpc-040097cdf449489b1,arn:aws:ec2:eu-north-1:405124853097:vpc/vpc-040097cdf449489b1,ec2:vpc,eu-north-1,405124853097,-,Sun Dec 14 2025 16:21:23 GMT+0200 (Eastern European Standard Time),ec2,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
/aws/rds/instance/ott-prod/error,arn:aws:logs:eu-west-3:405124853097:log-group:/aws/rds/instance/ott-prod/error,logs:log-group,eu-west-3,405124853097,-,Wed Dec 17 2025 17:02:22 GMT+0200 (Eastern European Standard Time),logs,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
AWS-SSM-DiagnosisExecutionRole-405124853097-eu-west-3,arn:aws:iam::405124853097:role/AWS-SSM-DiagnosisExecutionRole-405124853097-eu-west-3,iam:role,global,405124853097,-,Sun Dec 21 2025 11:23:53 GMT+0200 (Eastern European Standard Time),iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
wes-prod-invest-snapshotfss6thjul,arn:aws:rds:eu-west-3:405124853097:snapshot:wes-prod-invest-snapshotfss6thjul,rds:snapshot,eu-west-3,405124853097,-,Sat Dec 20 2025 16:13:26 GMT+0200 (Eastern European Standard Time),rds,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
service-role/CodeBuildBasePolicy-loyalty-ph-dev-codebuild-eu-west-3,arn:aws:iam::405124853097:policy/service-role/CodeBuildBasePolicy-loyalty-ph-dev-codebuild-eu-west-3,iam:policy,global,405124853097,-,Thu Dec 18 2025 17:05:14 GMT+0200 (Eastern European Standard Time),iam,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
aws-service-rule/securityhub.amazonaws.com/config-rule-wnb47n,arn:aws:config:eu-west-3:405124853097:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-wnb47n,config:config-rule,eu-west-3,405124853097,-,Sun Dec 21 2025 04:35:29 GMT+0200 (Eastern European Standard Time),config,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
aws-service-rule/securityhub.amazonaws.com/config-rule-3wua4z,arn:aws:config:eu-west-3:405124853097:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-3wua4z,config:config-rule,eu-west-3,405124853097,-,Sun Dec 21 2025 04:35:30 GMT+0200 (Eastern European Standard Time),config,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
aws-service-rule/securityhub.amazonaws.com/config-rule-0mvsjc,arn:aws:config:eu-west-3:405124853097:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-0mvsjc,config:config-rule,eu-west-3,405124853097,-,Sun Dec 21 2025 04:35:31 GMT+0200 (Eastern European Standard Time),config,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
stp-api-pre-production,arn:aws:codebuild:eu-west-3:405124853097:project/stp-api-pre-production,codebuild:project,eu-west-3,405124853097,-,Wed Dec 17 2025 22:25:49 GMT+0200 (Eastern European Standard Time),codebuild,-,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
aws-service-rule/securityhub.amazonaws.com/config-rule-uvobco,arn:aws:config:eu-west-3:405124853097:config-rule/aws-service-rule/securityhub.amazonaws.com/config-rule-uvobco,config:config-rule,eu-west-3,405124853097,-,Sun Dec 21 2025 04:35:27 GMT+0200 (Eastern European Standard Time),config,0,(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged),(not tagged)
